period,reporterDesc,flowDesc,qtyUnitAbbr,qty,isQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue
2015,El Salvador,Import,kg,4.6,false,4.6,false,,false,45.35,,45.35
2015,Estonia,Import,kg,269634,false,269634,false,,false,1144370,,1144370
2015,Estonia,Export,kg,335,false,335,false,,false,,2153,2153
2015,Fiji,Import,kg,100,false,100,false,0,false,1620405,0,1620405
2015,Finland,Import,kg,99,false,99,false,,false,11229,,11229
2015,Finland,Export,kg,183,true,183,true,,false,,9144,9144
2015,France,Import,kg,2721179,false,2721179,false,,false,5608423,,5608423
2015,France,Export,kg,9331415,true,9331415,true,,false,,18812183,18812183
2015,French Polynesia,Import,kg,592,false,592,false,,false,2367,,2367
2015,Georgia,Import,kg,18232,false,18232,false,0,false,21393.12,0,21393.12
2015,Georgia,Export,kg,242062,false,242062,false,0,false,0,125149.32,125149.32
2015,Germany,Import,kg,10820016799,true,10820016799,true,,false,44481644974,,44481644974
2015,Germany,Export,kg,21890597471,true,21890597471,true,,false,,101483002.57,101483002.57
2015,Ghana,Import,kg,614.6,false,614.6,false,0,false,2880546,,2880546
2015,Greece,Import,kg,211887,false,211887,false,,false,650117,,650117
2015,Greece,Export,kg,5424173,false,5424173,false,,false,,4362568,4362568
2015,Greenland,Import,kg,1,false,1,false,0,false,94.58,,94.58
2015,Grenada,Import,kg,1,false,1,false,0,false,42222,0,42222
2015,Guinea,Import,kg,14006,false,14006,false,,false,36711,,36711
2015,"China, Hong Kong SAR",Import,kg,1154,false,1154,false,,false,11717988,,11717988
2015,"China, Hong Kong SAR",Export,kg,1451,false,1451,false,,false,,6464082,6464082
2015,Hungary,Import,kg,2073547,false,2073547,false,,false,7458433,,7458433
2015,Hungary,Export,kg,4640621,false,4640621,false,,false,,6895349,6895349
2015,Iceland,Import,kg,79287,false,79287,false,,false,487011,,487011
2015,Iceland,Export,kg,576128,false,576128,false,,false,,1787119,1787119
2015,Indonesia,Import,kg,224314,false,224314,false,,false,855550,,855550
2015,Indonesia,Export,kg,868,false,868,false,,false,,1580,1580
2015,Iran,Import,kg,2513582,false,2513582,false,0,false,17660911,,17660911
2015,Iran,Export,kg,2918209,false,2918209,false,0,false,,8429375,8429375
2015,Ireland,Import,kg,3032227,false,3032227,false,0,false,6123151497,0,6123151497
2015,Ireland,Export,kg,8047218,false,8047218,false,0,false,0,17196742521,17196742521
2015,Israel,Export,kg,407561,false,407561,false,0,false,,460000,460000
2015,Italy,Import,kg,32466152,false,32466152,false,,false,205301570798,,205301570798
2015,Italy,Export,kg,10253792,false,10253792,false,,false,,18382257712,18382257712
2015,C�te d'Ivoire,Import,kg,64,false,64,false,0,false,90029,,90029
2015,C�te d'Ivoire,Export,kg,67,false,67,false,0,false,,613096,613096
2015,Japan,Import,kg,5314880,false,5314880,false,,false,32772057,,32772057
2015,Japan,Export,kg,475,false,475,false,,false,,6421,6421
2015,Kazakhstan,Export,kg,4461486,false,4461486,false,,false,,2411891,2411891
2015,Jordan,Export,kg,727160,false,727160,false,,false,,456579,456579
2015,Kenya,Export,kg,2215871,false,2215871,false,0,false,,4326740.14,4326740.14
2015,Rep. of Korea,Import,kg,9669278,false,9669278,false,,false,90217232,,90217232
2015,Rep. of Korea,Export,kg,4805,false,4805,false,,false,,156065,156065
2015,Kuwait,Import,kg,660044,false,660044,false,,false,700450909,,700450909
2015,Kuwait,Export,kg,1458907,false,1458907,false,,false,,490707385,490707385
2015,Kyrgyzstan,Import,kg,273652,false,273652,false,,false,91573,,91573
2015,Kyrgyzstan,Export,kg,1343210,false,1343210,false,,false,,701471,701471
2015,Lao People's Dem. Rep.,Import,kg,17736,true,17736,true,,false,47743,,47743
2015,Lebanon,Export,kg,570426,false,570426,false,,false,,5819853774,5819853774
2015,Lesotho,Import,kg,86419872,true,86419872,true,0,false,249226936,,249226936
2015,Lesotho,Export,N/A,0,false,,false,0,false,,34240086886,34240086886
2015,Latvia,Import,kg,480958,false,480958,false,0,false,2575306157,,2575306157
2015,Latvia,Export,kg,153477,false,153477,false,0,false,,834789815,834789815
2015,Lithuania,Import,kg,8226391,false,8226391,false,,false,32883053,,32883053
2015,Lithuania,Export,kg,29436,false,29436,false,,false,,181642,181642
2015,Luxembourg,Import,kg,364,false,364,false,,false,2734,,2734
2015,Madagascar,Import,kg,600,false,600,false,0,false,333453,,333453
2015,Malawi,Import,kg,4154,false,4154,false,0,false,4265025,,4265025
2015,Malaysia,Import,kg,6853658,false,6853658,false,,false,46614645,,46614645
2015,Malaysia,Export,kg,1749078,false,1749078,false,,false,,13234172,13234172
2015,Malta,Import,kg,47,false,47,false,,false,1492,,1492
2015,Mauritius,Import,kg,362377,false,362377,false,,false,3154583,,3154583
2015,Mauritius,Export,kg,41,false,41,false,,false,,892,892
2015,Mexico,Import,N/A,0,true,0,true,0,false,,5140925,5140925
2015,Mexico,Export,N/A,0,false,0,false,0,false,,121131,121131
2015,"Other Asia, nes",Import,kg,4403084,false,4403084,false,,false,28552530,,28552530
2015,"Other Asia, nes",Export,kg,40079,false,40079,false,,false,,186135,186135
2015,Mongolia,Import,kg,19787,false,19787,false,,false,108500,,108500
2015,Mongolia,Export,kg,11450320,false,11450320,false,,false,,13945477,13945477
2015,Rep. of Moldova,Import,kg,643351,false,643351,false,,false,1875326,,1875326
2015,Rep. of Moldova,Export,kg,660362,false,660362,false,,false,,680180,680180
2015,Montenegro,Import,kg,99,false,99,false,,false,757,,757
2015,Montenegro,Export,kg,105905,false,105905,false,,false,,25428,25428
2015,Morocco,Import,kg,263123.4,false,263123.4,false,0,false,1388947328,,1388947328
2015,Morocco,Export,kg,4481439.2,false,4481439.2,false,0,false,,4489036932,4489036932
2015,Mozambique,Import,kg,1675,false,1675,false,0,false,4891.76,0,4891.76
2015,Oman,Import,kg,650,false,650,false,,false,13370.61,,13370.61
2015,Namibia,Import,kg,3163,false,3163,false,,false,15459,,15459
2015,Namibia,Export,kg,5,false,5,false,,false,,16,16
2015,Nepal,Import,kg,3499031,false,3499031,false,,false,14411611,,14411611
2015,Netherlands,Import,kg,2616928,false,2616928,false,0,false,4054705819,,4054705819
2015,Netherlands,Export,kg,1689386164,true,1689386164,true,0,false,,3549503545,3549503545
2015,Aruba,Import,kg,62,false,62,false,,false,519,,519
2015,New Zealand,Import,kg,583424,false,583424,false,597804,false,2525415312,,2525415312
2015,New Zealand,Export,kg,124682955,false,124682955,false,127039082,false,,570295019778,570295019778
2015,Nicaragua,Import,kg,97,false,97,false,,false,523,,523
2015,Niger,Export,kg,6000,false,6000,false,,false,,1009,1009
2015,Nigeria,Import,kg,55305899,true,55305899,true,0,false,101208.32,,101208.32
2015,Norway,Import,kg,318504,false,318504,false,,false,1508227276,,1508227276
2015,Norway,Export,kg,3938101,false,3938101,false,,false,,7502510419,7502510419
